390,9670,Christoph Reichert,2020,DEU,183,73,1997,21.798202394816204
391,9670,Emiliano Ramos,2020,ESP,,,2009,
392,9670,Franz Weber,2020,MEX,179,68,2009,21.22280827689523
393,9662,Thomas Stoll,2020,DEU,174,,2010,
394,9657,Sean Nanos,2020,USA,158,53,2009,21.230572023714146
395,9656,Jordan Mathew,2020,USA,173,58,2014,19.37919743392696
396,9656,Kelly Birch,2020,USA,,,,
397,9656,Cole Peck,2020,USA,67,63,2008,140.34306081532634
398,9655,Aaron Jurasevich,2020,USA,,,,
399,9653,Julien Clémence,2020,CHE,,,,
400,9653,Jackson McKay,2020,CAN,181,73,2011,22.282592106468055
