Placeing,Score,Name,Birth Year,Country,Height (cm),Weight (Kg),Started Climbing,Climber BMI
1,12140,James Webb,1987,USA,183,78,2003,23.291229956104985
2,11970,Matt Fultz,1991,USA,183,78,2002,23.291229956104985
3,11923,Giuliano Cameroni,1997,CHE,181,68,2000,20.756387167668876
4,11823,Martin Stráník,1990,CZE,178,73,1996,23.04002019946976
5,11820,Ryuichi Murai,1994,JPN,167,58,2004,20.796729893506402
6,11810,Vadim Timonov,1992,RUS,180,68,2002,20.98765432098765
7,11650,Eliot Stephens,1992,GBR,168,58,2010,20.549886621315196
8,11573,Zach Galla,2000,USA,167,53,2008,19.003908350962746
9,11560,Daniel Woods,1989,USA,166,63,1995,22.8625344752504
10,11553,Stefan Scarperi,1991,ITA,170,53,1999,18.339100346020764
11,11550,Giani Clement,1983,CHE,170,63,2008,21.79930795847751
12,11506,Nomura Shinichiro,1997,JPN,159,53,2004,20.964360587002094
13,11490,Jesús Muñoz Chuchi,1991,ESP,181,73,2008,22.282592106468055
14,11420,Lukas Mayerhofer,2000,AUT,172,63,2004,21.29529475392104
15,11400,Michiel Nieuwenhuijsen,1986,NLD,187,,1999,
16,11400,Jorge diaz-rullo,1999,ESP,169,58,2011,20.307412205454995
17,11350,Toni Lamprecht,1971,DEU,187,88,1984,25.165146272412706
18,11350,Clément Lechaptois,1993,FRA,170,58,2007,20.06920415224914
19,11323,Christof Rauch,1994,AUT,170,68,2008,23.529411764705884
20,11270,Austin Purdy,1997,USA,180,68,2008,20.98765432098765
21,11250,Simone Tentori,1998,ITA,178,68,2009,21.461936624163616
22,11243,Orrin Coley,1995,GBR,176,63,2002,20.33832644628099
23,11242,Coudert Camille,1995,FRA,177,68,,21.705129432793896
24,11240,Moritz Welt,2001,DEU,176,63,,20.33832644628099
25,11235,Thilo Jeldrik Schröter,1996,NOR,,,,
26,11223,Chase Martinez,1998,USA,167,48,2016,17.21108680841909
27,11220,Moritz Perwitzschky,1999,DEU,182,78,2007,23.54788069073783
28,11213,Taylor McNeill,1991,USA,,,2009,
29,11200,Leon Fraunholz,2000,DEU,160,,2008,
30,11200,T Chen,1996,USA,177,63,2007,20.109164033323754
31,11156,Kim Marschner,1998,DEU,167,,,
32,11150,Nathan Phillips,1994,GBR,,,2000,
33,11140,Nicolas Pelorson,1997,FRA,173,63,2008,21.04981790236894
34,11130,David von Allmen,1983,CHE,168,63,2004,22.321428571428577
35,11126,"Stick ""Brian"" Nuggels",1996,USA,173,98,,32.74416118146279
36,11108,Makoto Yamauchi,1994,JPN,164,53,2004,19.705532421177875
37,11105,Hibiki Yamauchi,1998,JPN,170,58,,20.06920415224914
38,11070,Stepan Stráník,1987,CZE,178,73,1995,23.04002019946976
39,11070,Ben Burkhalter,2001,USA,175,53,2014,17.306122448979593
40,11020,Diego Cameroni,2001,CHE,181,63,2005,19.230182228869694
41,11020,Carlo Traversi,1988,USA,170,63,2002,21.79930795847751
42,11008,Everett Sloane,2000,USA,,,,
43,11003,Sam Prior,1992,GBR,,,,
44,11000,Rei kawamata,2003,JPN,170,53,2011,18.339100346020764
45,10980,Javier Meng,1982,ESP,175,68,2000,22.20408163265306
46,10976,Samuel Faulstich,1995,DEU,179,73,2010,22.783308885490467
47,10976,Fanny Dong,1992,USA,183,73,,21.798202394816204
48,10961,Tamás Zupán,1987,HUN,176,63,2004,20.33832644628099
49,10956,Danny Popowski,1994,USA,,63,2004,
50,10955,Kazuma Ise,2002,JPN,169,58,2009,20.307412205454995
